accomodation_id,city_id,city_name,accom_nm,address,rate,longitude,latitude
AC60,C22,강릉,HOTEL BOMBOM,강원 강릉시 교동광장로100번길 19-0,4.14,128.8762207,37.76659144
AC61,C22,강릉,나인원펜션,강원 강릉시 안현로 114-8,4.13,128.8712535,37.80228405
AC62,C22,강릉,더원펜션,강원 강릉시 해안로 1933-1,4.12,128.8295154,37.90207585
AC63,C22,강릉,몽블랑모텔,강원 강릉시 교동광장로100번길 8-5,4.1,128.876691,37.76571167
AC64,C22,강릉,호텔랑,강원 강릉시 창해로 435-0,4.09,128.9130446,37.80001155
AC65,C22,강릉,베이스캠프카라반,강원 강릉시 해안로 940-12,4.07,128.873605,37.8343315
AC66,C22,강릉,강릉풀빌라케이,강원 강릉시 진리해변길 183-0,4.06,128.8699145,37.84566285
AC67,C22,강릉,홍씨호텔강릉역,강원 강릉시 옥천로65번길 2-6,4.04,128.897872,37.75958543
AC68,C22,강릉,안목을높이다,강원 강릉시 창해로 27-0,4.03,128.9444218,37.77428691
AC69,C22,강릉,더강문,강원 강릉시 해안로 376-0,4.01,128.912906,37.79628741
AC70,C22,강릉,넘버25펜션,강원 강릉시 해안로 545-0,4,128.9026778,37.80729897
AC71,C22,강릉,나이스모텔,강원 강릉시 홍제로85번길 19-0,3.99,128.881994,37.75397502
AC72,C22,강릉,경포비스타호텔,강원 강릉시 해안로 557-0,3.97,128.9025224,37.80814746
AC73,C22,강릉,나이아드펜션,강원 강릉시 경포로463번길 33-0,3.96,128.9028762,37.80413591
AC74,C22,강릉,호텔헤렌하우스,강원 강릉시 창해로14번길 16-0,3.94,128.9468636,37.77289488
AC75,C22,강릉,아스라,강원 강릉시 옥천로 72-3,3.93,128.8982292,37.76048871
AC76,C22,강릉,강릉경포카라반파크,강원 강릉시 해안로 904-14,3.91,128.8759861,37.83232021
AC77,C22,강릉,호텔라피네,강원 강릉시 회산로 58-12,3.9,128.8438008,37.72411608
AC78,C22,강릉,니시스파펜션,강원 강릉시 해안로 523-0,3.88,128.9029181,37.80540307
AC79,C22,강릉,라메르호텔,강원 강릉시 해안로 877-0,3.87,128.8777795,37.82915762
AC80,C22,강릉,하루펜션,강원 강릉시 해안로 651-15,3.86,128.895277,37.81328644
AC81,C22,강릉,주문진호텔,강원 강릉시 불당골길 5-0,3.84,128.8291171,37.89525618
AC82,C22,강릉,와이앤지비즈니스호텔펜션,강원 강릉시 경포로475번길 41-0,3.83,128.9016598,37.80527611
AC83,C22,강릉,아띠랑스풀빌라펜션,강원 강릉시 방동길 276-0,3.81,128.8742187,37.82569894
AC84,C22,강릉,솔게스트하우스경포대본점,강원 강릉시 경포로463번길 36-0,3.8,128.9033939,37.80434924
AC85,C22,강릉,휴심펜션,강원 강릉시 저동골길 21-0,3.78,128.8942024,37.79711617
AC86,C22,강릉,노벰버펜션,강원 강릉시 영진4길 16-1,3.77,128.8449019,37.86759141
AC87,C22,강릉,아테네모텔,강원 강릉시 경포로475번길 12-0,3.75,128.9033254,37.80313764
AC88,C22,강릉,피크닉모텔,강원 강릉시 홍제로85번길 24-0,3.74,128.8813862,37.75389356
AC89,C22,강릉,동아호텔,강원 강릉시 경강로 2080-0,3.72,128.8951584,37.75349879
AC90,C22,강릉,VV호텔,강원 강릉시 하슬라로192번길 22-1,3.71,128.8779122,37.76616281
AC91,C22,강릉,백야펜션,강원 강릉시 해안로 607-4,3.7,128.8987768,37.81155649
AC92,C22,강릉,그랑블루모텔,강원 강릉시 창해로 269-0,3.68,128.9239717,37.78865186
AC93,C22,강릉,안목있는춘향펜션,강원 강릉시 두산길 158-6,3.67,128.9384317,37.76629722
AC94,C22,강릉,투썸펜션,강원 강릉시 해안로 659-0,3.65,128.8946509,37.81471335
AC95,C22,강릉,더호텔비지니스,강원 강릉시 해안로 549-0,3.64,128.9026621,37.8075929
AC96,C22,강릉,숨펜션,강원 강릉시 해안로 663-10,3.59,128.8939867,37.81483412
AC97,C22,강릉,이룸펜텔,강원 강릉시 해안로535번길 16-0,3.59,128.9024133,37.80736693
AC98,C22,강릉,망상비치호텔앤펜션,강원 강릉시 도직길 7-12,3.59,129.0678172,37.60684025
AC99,C22,강릉,화이트캐슬리조트,강원 강릉시 산두양지길 7-16,3.57,128.9838108,37.72080986
AC100,C22,강릉,올라스오션뷰풀빌라,강원 강릉시 해안로 1083-3,3.57,128.8689728,37.84520342
AC101,C22,강릉,코아모텔,강원 강릉시 창해로 437-6,3.55,128.9127504,37.79969257
AC102,C22,강릉,언제나소돌,강원 강릉시 해안로 2011-0,3.54,128.8251205,37.90657601
AC103,C22,강릉,경포블루비치펜션,강원 강릉시 해안로 655-0,3.52,128.8950217,37.81462478
AC104,C22,강릉,어린왕자펜션,강원 강릉시 해안로 1149-0,3.51,128.8630415,37.84911499
AC105,C22,강릉,씨베이호텔강릉,강원 강릉시 주문로 59-0,3.49,128.8254149,37.88915566
AC106,C22,강릉,캣츠모텔,강원 강릉시 하슬라로 150-0,3.48,128.8745947,37.76321718
AC107,C22,강릉,당신의안목주문진점,강원 강릉시 등대길 39-0,3.46,128.8336495,37.89909506
AC108,C22,강릉,아라스파펜션,강원 강릉시 해안로 609-0,3.45,128.8986949,37.81179888
AC109,C22,강릉,연인들의사랑이야기펜션,강원 강릉시 삼포암길 45-0,3.43,128.7963202,37.71727916
AC110,C22,강릉,호텔메모리,강원 강릉시 주문로 51-1,3.42,128.8252336,37.888466
AC111,C22,강릉,케이모텔,강원 강릉시 옥천로71번길 3-0,3.41,128.8979554,37.75987172
AC112,C22,강릉,당신의안목,강원 강릉시 창해로14번길 6-0,3.39,128.9460133,37.77337367
AC113,C22,강릉,피어86스파펜션,강원 강릉시 진리항구길 19-0,3.38,128.8745543,37.83559287
AC114,C22,강릉,러블리모텔,강원 강릉시 해안로 539-0,3.36,128.9027032,37.80674833
AC115,C22,강릉,인터파크모텔,강원 강릉시 창해로 21-0,3.35,128.9445052,37.77383683
AC116,C22,강릉,밀라노펜션,강원 강릉시 해안로 1905-0,3.33,128.8319484,37.90048515
AC117,C22,강릉,씩펜션,강원 강릉시 홍질목길 55-29,3.32,128.843511,37.86408293
AC118,C22,강릉,로제펜션,강원 강릉시 홍질목길 55-21,3.3,128.8429385,37.86382435
AC119,C22,강릉,로하스펜션,강원 강릉시 해안로621번길 13-0,3.29,128.8985087,37.81183179
AC120,C22,강릉,힐스파이브펜션,강원 강릉시 소금강길 379-32,3.28,128.714937,37.81989996
AC121,C22,강릉,용궁펜션,강원 강릉시 해안로604번길 18-0,3.26,128.8985702,37.81281901
AC122,C22,강릉,자작나무호텔,강원 강릉시 해안로535번길 18-0,3.25,128.9023903,37.8076626
AC123,C22,강릉,GuGu펜션,강원 강릉시 해안로 1929-0,3.23,128.8302174,37.90186072
AC124,C22,강릉,호텔탑스빌,강원 강릉시 헌화로 1007-34,3.22,129.0365582,37.68559028
AC125,C22,강릉,오션모텔,강원 강릉시 해안로406번길 13-7,3.17,128.9127453,37.79927773
AC126,C22,강릉,MGM호텔,강원 강릉시 해안로535번길 19-0,3.17,128.9017533,37.80762514
AC127,C22,강릉,까르디에A펜션,강원 강릉시 진리항구길 5-0,3.16,128.8729789,37.83537976
AC128,C22,강릉,에스엠호텔,강원 강릉시 솔올로5번길 23-0,3.14,128.8748241,37.76319002
AC129,C22,강릉,가이택펜션,강원 강릉시 해안로 720-0,3.13,128.8904374,37.81917165
AC130,C22,강릉,메종드씨펜션,강원 강릉시 경포로463번안길 9-4,3.12,128.9012999,37.80164831
AC131,C22,강릉,니나랑펜션,강원 강릉시 안인진길 34-22,3.1,128.9895687,37.7346804
AC132,C22,강릉,웨이블루,강원 강릉시 해안로 1901-0,3.09,128.8322586,37.90031564
AC133,C22,강릉,이즈원풀빌라펜션,강원 강릉시 홍질목길 55-37,3.07,128.8427907,37.86408421
AC134,C22,강릉,노벰버호텔,강원 강릉시 영진4길 16-1,3.06,128.8449019,37.86759141
AC135,C22,강릉,더퍼스트펜션,강원 강릉시 진리해변길 113-1,3.04,128.8750742,37.84118057
AC136,C22,강릉,모텔몽,강원 강릉시 교동광장로 116-0,3.03,128.877377,37.76429109
AC137,C22,강릉,주문진글램핑오토캠핑장,강원 강릉시 신리천로 951-9,3.01,128.7336932,37.88017412
AC138,C22,강릉,에이스모텔,강원 강릉시 율곡로2874번길 44-0,3,128.8988476,37.76250167
AC139,C22,강릉,썬비치모텔,강원 강릉시 창해로 259-0,2.99,128.9249235,37.78813508
AC140,C22,강릉,바다를품은펜션,강원 강릉시 해안로 1080-0,2.97,128.8697086,37.84562855
AC141,C22,강릉,펜션오월의정원,강원 강릉시 생길목길 36-8,2.96,128.8895415,37.7145639
AC142,C22,강릉,르샤트리펜션,강원 강릉시 하남길255번길 6-22,2.94,128.8918453,37.80835704
AC143,C22,강릉,샤인텔,강원 강릉시 신대학길 8-0,2.93,128.8942071,37.75242163
AC144,C22,강릉,벨라루나펜션,강원 강릉시 해안로621번길 11-0,2.91,128.8984142,37.81187448
AC145,C22,강릉,대일모텔,강원 강릉시 동부시장길 37-0,2.9,128.9007102,37.76132036
AC146,C22,강릉,에즈풀앤스파,강원 강릉시 해안로 1052-1,2.88,128.8710733,37.84345847
AC147,C22,강릉,아이리스스테이,강원 강릉시 창해로 255-0,2.87,128.9252126,37.78793722
AC148,C22,강릉,솔올파크,강원 강릉시 하슬라로192번길 14-0,2.86,128.8768821,37.76651785
AC149,C22,강릉,라클라우드펜션,강원 강릉시 해안로 651-10,2.84,128.8951776,37.81374846
AC150,C22,강릉,썸모텔,강원 강릉시 정원로 60-0,2.83,128.875204,37.76257545
AC151,C22,강릉,로사펜션,강원 강릉시 안현로 284-0,2.81,128.8894205,37.80590822
AC152,C22,강릉,강릉미술시간풀빌라n스파,강원 강릉시 해안로 904-18,2.8,128.8761702,37.83256546
AC153,C22,강릉,쏠하우스,강원 강릉시 해안로 663-67,2.78,128.8938947,37.81417006
AC154,C22,강릉,경포대WYNN,강원 강릉시 창해로 485-0,2.77,128.9091942,37.80342919
AC155,C22,강릉,강문애게스트하우스,강원 강릉시 창해로 245-0,2.75,128.9260166,37.78741789
AC156,C22,강릉,S9펜션,강원 강릉시 해안로 349-0,2.74,128.9148344,37.79463367
AC157,C22,강릉,코스테,강원 강릉시 해안로 725-2,2.72,128.8895166,37.81953523
AC158,C22,강릉,경포그곳에가면펜션,강원 강릉시 해안로 381-2,2.7,128.9114704,37.79629081
AC159,C22,강릉,루루펜션,강원 강릉시 진리항구길 7-0,2.7,128.8731554,37.83538956
AC160,C22,강릉,엘림모텔,강원 강릉시 옥천로65번길 2-4,2.68,128.8981192,37.75972351
AC161,C22,강릉,파인힐호텔,강원 강릉시 솔올로5번길 12-3,2.67,128.8760595,37.76323837
AC162,C22,강릉,강릉G7펜션,강원 강릉시 해안로 1939-8,2.65,128.8287648,37.90248641
AC163,C22,강릉,루헤풀빌라펜션,강원 강릉시 경포로463번안길 10-4,2.64,128.9019467,37.80218314
AC164,C22,강릉,바다보기펜션,강원 강릉시 해안로 1077-0,2.62,128.8693075,37.84517649
AC165,C22,강릉,J블럭모텔,강원 강릉시 옥천로61번길 10-0,2.59,128.8985203,37.75902321
AC166,C22,강릉,산에언덕에,강원 강릉시 진고개로 1016-0,2.59,128.6567477,37.8398392
AC167,C22,강릉,J&tel,강원 강릉시 해안로 525-0,2.58,128.9027561,37.80550144
AC168,C22,강릉,스테이어스펜션,강원 강릉시 초당원길 108-1,2.55,128.9121441,37.79066542
AC169,C22,강릉,어린왕자게스트하우스,강원 강릉시 해안로535번길 21-0,2.55,128.9022277,37.8081433
AC170,C22,강릉,더그레이펜션,강원 강릉시 하남길263번길 9-6,2.54,128.8934561,37.80708079
AC171,C22,강릉,그린피스모텔,강원 강릉시 경포로463번길 37-0,2.52,128.902886,37.80446771
AC172,C22,강릉,강릉128펜션,강원 강릉시 경포로463번안길 10-3,2.51,128.9014863,37.80219238
AC173,C22,강릉,펜션오르,강원 강릉시 해안로 1044-9,2.49,128.8718261,37.84247199
AC174,C22,강릉,올인모텔,강원 강릉시 중앙시장2길 10-6,2.48,128.8962259,37.75154642
AC175,C22,강릉,정동진모텔,강원 강릉시 헌화로 1007-13,2.46,129.0375775,37.68528026
AC176,C22,강릉,보니블랑,강원 강릉시 너다리길 23-14,2.45,128.8495235,37.8327706
AC177,C22,강릉,카루스파펜션,강원 강릉시 하남길 341-1,2.43,128.8995331,37.80867334
AC178,C22,강릉,어뮤즈스파펜션,강원 강릉시 해안로 651-11,2.42,128.8955365,37.81368323
AC179,C22,강릉,시간여행펜션,강원 강릉시 해안로 1151-0,2.41,128.8629466,37.84918829
AC180,C22,강릉,공주펜션,강원 강릉시 해안로604번길 14-0,2.39,128.8989214,37.81267759
AC181,C22,강릉,스카이모텔,강원 강릉시 교동광장로100번길 13-0,2.36,128.8760958,37.76613229
AC182,C22,강릉,휴가펜션,강원 강릉시 해안로 653-1,2.36,128.8955475,37.81426733
AC183,C22,강릉,힐링하우스펜션,강원 강릉시 삼포암길 44-0,2.35,128.7954441,37.71759015
AC184,C22,강릉,블랭크펜션,강원 강릉시 해안로 902-0,2.33,128.8768918,37.83133423
AC185,C22,강릉,코미치바다펜션,강원 강릉시 해안로 663-16,2.32,128.8935978,37.81446292
AC186,C22,강릉,소금강에서띄우는들꽃편지펜션,강원 강릉시 삼산길 37-0,2.3,128.7017331,37.84962191
AC187,C22,강릉,경포가둔지펜션,강원 강릉시 가둔지길 41-0,2.29,128.88029,37.82569159
AC188,C22,강릉,송강리조텔,강원 강릉시 창해로 237-0,2.28,128.9269694,37.78699865
AC189,C22,강릉,프라다에바스펜션,강원 강릉시 해안로621번길 8-0,2.26,128.8978215,37.81210834
AC190,C22,강릉,산타비치펜션,강원 강릉시 해안로 362-3,2.25,128.9139138,37.79577026
AC191,C22,강릉,경포비치펜션,강원 강릉시 하남길 345-5,2.23,128.899485,37.80894616
AC192,C22,강릉,경포산호펜션,강원 강릉시 해안로406번길 13-5,2.19,128.9128894,37.79908135
AC193,C22,강릉,상상펜션,강원 강릉시 진리해변길 131-0,2.19,128.8737648,37.8424615
AC194,C22,강릉,스카리아풀빌라,강원 강릉시 난설헌로 261-0,2.19,128.9159997,37.7953516
AC195,C22,강릉,J9펜션,강원 강릉시 난설헌로 247-0,2.17,128.9149943,37.79443478
AC196,C22,강릉,정원펜션캠핑,강원 강릉시 신리천로 1191-15,2.16,128.7098395,37.87943017
AC197,C22,강릉,아날로그76펜션,강원 강릉시 저동골길 40-8,2.14,128.8949053,37.79931326
AC198,C22,강릉,경포파인펜션,강원 강릉시 하남길 339-0,2.13,128.8993704,37.80853651
AC199,C22,강릉,강릉애펜션,강원 강릉시 해안로 630-0,2.1,128.8975803,37.81334628
AC200,C22,강릉,라라이프펜션,강원 강릉시 해안로 636-0,2.1,128.8970594,37.81378374
AC201,C22,강릉,썬리치펜션,강원 강릉시 해안로 1895-0,2.09,128.8328618,37.90012626
AC202,C22,강릉,이스트펜션,강원 강릉시 해안로 628-0,2.07,128.8977273,37.81323446
AC203,C22,강릉,올림피아호텔,강원 강릉시 용지각길38번길 4-0,2.06,128.907284,37.76247494
AC204,C22,강릉,영진스테이,강원 강릉시 해안로 1441-0,2.04,128.8460504,37.86838398
AC205,C22,강릉,에이제이호텔&펜션,강원 강릉시 경포로475번길 42-0,2.03,128.9023786,37.80536845
AC206,C22,강릉,블랑비치펜션,강원 강릉시 진리해변길 83-0,2,128.8764708,37.83930485
AC207,C22,강릉,강릉게스트하우스중앙점,강원 강릉시 경강로2103번길 17-0,2,128.8954884,37.75639581
AC208,C22,강릉,이스턴파리풀빌라펜션,강원 강릉시 저동골길 40-9,1.99,128.8946386,37.79952348
AC209,C22,강릉,더블루펜션,강원 강릉시 해안로 653-3,1.97,128.8954876,37.81406174
AC210,C22,강릉,아늑한공간,강원 강릉시 안현로 110-0,1.96,128.8707222,37.80279192
AC211,C22,강릉,한눈에바다,강원 강릉시 진리해변길 93-0,1.94,128.8765711,37.84015941
AC212,C22,강릉,에쿠스모텔,강원 강릉시 홍제로85번길 34-0,1.91,128.8807224,37.75326185
AC213,C22,강릉,기억스테이,강원 강릉시 창해로370번길 3-0,1.91,128.9169284,37.79574484
AC214,C22,강릉,더씨엘펜션,강원 강릉시 진리해변길 89-0,1.9,128.8768284,37.83979038
AC215,C22,강릉,포이푸서프게스트하우스,강원 강릉시 진리해변길 117-0,1.88,128.8748391,37.84155068
AC216,C22,강릉,멍게바위펜션,강원 강릉시 해안로604번길 11-0,1.87,128.8990354,37.81223534
AC217,C22,강릉,파인팰리스,강원 강릉시 저동골길105번길 37-1,1.86,128.8892373,37.80253833
AC218,C22,강릉,엘모텔,강원 강릉시 성덕포남로149번길 14-0,1.84,128.9102833,37.76497589
AC219,C22,강릉,화선모텔,강원 강릉시 성덕포남로149번길 6-0,1.83,128.9108403,37.76553133
AC220,C22,강릉,봉모텔,강원 강릉시 옥천로62번길 18-0,1.81,128.8996388,37.76115712
AC221,C22,강릉,페리아902,강원 강릉시 해안로 902-0,1.8,128.8768918,37.83133423
AC222,C22,강릉,캐빈모텔,강원 강릉시 금성로61번길 13-0,1.78,128.8961538,37.7511368
AC223,C22,강릉,워싱턴모텔,강원 강릉시 홍제로85번길 14-0,1.77,128.8825011,37.75447409
AC224,C22,강릉,바위섬펜션,강원 강릉시 진리해변길 99-0,1.75,128.8764157,37.84043537
AC225,C22,강릉,부연동스카이케빈펜션,강원 강릉시 부연동길 840-0,1.74,128.6345573,37.87141758
AC226,C22,강릉,M9펜션,강원 강릉시 해안로 1921-0,1.72,128.830662,37.90150338
AC227,C22,강릉,정동진호텔,강원 강릉시 율곡로 1055-0,1.71,129.0248015,37.68331975
AC228,C22,강릉,마레하우스펜션,강원 강릉시 하남길 325-0,1.7,128.8989663,37.80752743
AC229,C22,강릉,대덕호수텔,강원 강릉시 해안로 601-0,1.68,128.8991035,37.81114224
AC230,C22,강릉,끄레소펜션,강원 강릉시 안현로 85-22,1.67,128.8687239,37.80391744
AC231,C22,강릉,휘게펜션,강원 강릉시 경포로463번길 13-10,1.65,128.9013367,37.80256539
AC232,C22,강릉,해피몽펜션,강원 강릉시 삼왕길 171-13,1.64,128.7942527,37.7563505
AC233,C22,강릉,하이빌리지펜션,강원 강릉시 해안로 663-50,1.62,128.8944517,37.81250654
AC234,C22,강릉,썬모텔,강원 강릉시 안인일출길 46-0,1.61,128.9898503,37.73354825
AC235,C22,강릉,안반데기하늘농장펜션,강원 강릉시 안반데기길 440-0,1.59,128.738674,37.62302603
AC236,C22,강릉,티아라펜션,강원 강릉시 하남길 335-0,1.58,128.8994166,37.80820471
AC237,C22,강릉,힐링연,강원 강릉시 영진4길 39-11,1.57,128.8461895,37.8659009
AC238,C22,강릉,쇼콜라펜션,강원 강릉시 본동길 250-6,1.55,128.8721239,37.83146022
AC239,C22,강릉,새아라펜션,강원 강릉시 해안로 651-12,1.54,128.8951342,37.81361232
AC240,C22,강릉,S202펜션,강원 강릉시 해안로 637-0,1.51,128.8967256,37.81353625
AC241,C22,강릉,솔빛아래펜션,강원 강릉시 송림웃둔지길 64-2,1.51,128.8037411,37.854327
AC242,C22,강릉,에스에스펜션,강원 강릉시 해안로 1073-0,1.49,128.8696556,37.84464019
AC243,C22,강릉,세인트린느프렌즈게스트하우스카라반,강원 강릉시,1.48,128.8759061,37.75210808
AC244,C22,강릉,강릉여행굿캠핑,강원 강릉시 해안로 904-8,1.45,128.8762235,37.83152027
AC245,C22,강릉,리치문펜션,강원 강릉시 해안로 663-89,1.45,128.8939863,37.81395734
AC246,C22,강릉,다비앙펜션,강원 강릉시 경포로463번안길 10-2,1.43,128.9019962,37.80198118
AC247,C22,강릉,코모도모텔,강원 강릉시 경포로 489-10,1.41,128.9042348,37.80390667
AC248,C22,강릉,파인힐 애견펜션,강원 강릉시 동해대로 4371-27,1.41,128.831634,37.86920213
AC249,C22,강릉,시드니모텔,강원 강릉시 강릉대로 84-0,1.39,128.8810593,37.75381995
AC250,C22,강릉,경포엔펜션,강원 강릉시 저동골길 113-6,1.38,128.8914912,37.80459615
AC251,C22,강릉,W스파펜션B동,강원 강릉시 해안로 689-10,1.36,128.891603,37.81620324
AC252,C22,강릉,해랑펜션,강원 강릉시 해안로 1609-0,1.35,128.8335549,37.87955118
AC253,C22,강릉,워너비무인텔,강원 강릉시 도직길 12-0,1.33,129.0672945,37.60791105
AC254,C22,강릉,예담펜션,강원 강릉시 해안로 1455-0,1.32,128.8448033,37.86917023
AC255,C22,강릉,테라스마크펜션,강원 강릉시 영진길 63-0,1.3,128.8429768,37.87031813
AC256,C22,강릉,스테이그레이,강원 강릉시 연주로 81-26,1.29,128.8352245,37.86268424
AC257,C22,강릉,와우파크카라반,강원 강릉시 공회당길 7-13,1.28,128.8724918,37.84104511
AC258,C22,강릉,KN하우스,강원 강릉시 안현로 398-0,1.26,128.9016717,37.80591415
AC259,C22,강릉,골드파인펜션,강원 강릉시 해안로 663-14,1.25,128.8937289,37.81458828
AC260,C22,강릉,쉬자모텔,강원 강릉시 중기안길 17-0,1.23,128.902703,37.7618096
AC261,C22,강릉,사근진엔,강원 강릉시 해안로 588-0,1.19,128.9005861,37.81068457
AC262,C22,강릉,시닉94펜션,강원 강릉시 홍질목길 55-15,1.19,128.8424623,37.86421492
AC263,C22,강릉,경포씨앤뷰펜션,강원 강릉시 해안로 663-46,1.19,128.8941862,37.81297051
